# Datazone Networks LLC GeoFeed for AS7361
# Last Update: 20241128

#APAC-MY
78.235.22.0/24,FR,FR-IDF,Paris,
78.235.23.0/24,FR,FR-IDF,Paris,
78.235.24.0/24,FR,FR-IDF,Paris,
78.235.25.0/24,FR,FR-IDF,Paris,
78.235.26.0/24,FR,FR-IDF,Paris,
78.235.27.0/24,FR,FR-IDF,Paris,
78.235.28.0/24,FR,FR-IDF,Paris,
78.235.29.0/24,FR,FR-IDF,Paris,
78.235.30.0/24,FR,FR-IDF,Paris,
78.235.31.0/24,FR,FR-IDF,Paris,
#Thailand-TH
23.180.248.0/24,TH,TH-10,Bangkok,
66.208.88.0/24,TH,TH-10,Bangkok,
66.208.89.0/24,TH,TH-10,Bangkok,
66.208.90.0/24,TH,TH-10,Bangkok,
66.208.91.0/24,TH,TH-10,Bangkok,
